customer_id,month,status,mrr,plan_type,is_trial
C1000,2026-01-01,active,49,Starter,False
C1000,2026-02-01,active,49,Starter,False
C1000,2026-03-01,active,49,Starter,False
C1000,2026-04-01,churned,0,Starter,False
C1001,2026-01-01,active,399,Team,False
C1001,2026-02-01,active,399,Team,False
C1001,2026-03-01,active,399,Team,False
C1001,2026-04-01,active,399,Team,False
C1002,2026-01-01,active,99,Starter,False
C1002,2026-02-01,active,99,Starter,False
C1002,2026-03-01,active,99,Starter,False
C1002,2026-04-01,active,99,Starter,False
C1003,2026-01-01,active,599,Business,False
C1003,2026-02-01,active,599,Business,False
C1003,2026-03-01,active,599,Business,False
C1003,2026-04-01,active,599,Business,False
C1004,2026-01-01,active,99,Starter,False
C1004,2026-02-01,active,99,Starter,False
C1004,2026-03-01,active,99,Starter,False
C1004,2026-04-01,active,99,Starter,False
C1005,2026-01-01,active,399,Team,False
C1005,2026-02-01,active,399,Team,False
C1005,2026-03-01,active,399,Team,False
C1005,2026-04-01,active,399,Team,False
C1006,2026-01-01,active,49,Starter,False
C1006,2026-02-01,active,49,Starter,False
C1006,2026-03-01,active,49,Starter,False
C1006,2026-04-01,active,49,Starter,False
C1007,2026-01-01,active,199,Team,False
C1007,2026-02-01,active,199,Team,False
C1007,2026-03-01,active,199,Team,False
C1007,2026-04-01,active,199,Team,False
C1008,2026-01-01,active,999,Business,False
C1008,2026-02-01,active,999,Business,False
C1008,2026-03-01,active,999,Business,False
C1008,2026-04-01,active,999,Business,False
C1009,2026-01-01,active,999,Business,False
C1009,2026-02-01,active,999,Business,False
C1009,2026-03-01,active,999,Business,False
C1009,2026-04-01,active,999,Business,False
C1011,2026-01-01,active,99,Starter,False
C1011,2026-02-01,active,99,Starter,False
C1011,2026-03-01,active,99,Starter,False
C1011,2026-04-01,churned,0,Starter,False
C1012,2026-01-01,active,599,Business,False
C1012,2026-02-01,active,599,Business,False
C1012,2026-03-01,active,599,Business,False
C1012,2026-04-01,active,599,Business,False
C1013,2026-01-01,active,199,Team,False
C1013,2026-02-01,active,199,Team,False
C1013,2026-03-01,active,199,Team,False
C1013,2026-04-01,active,199,Team,False
C1014,2026-01-01,active,799,Business,False
C1014,2026-02-01,active,799,Business,False
C1014,2026-03-01,active,799,Business,False
C1014,2026-04-01,active,799,Business,False
C1015,2026-01-01,active,399,Team,False
C1015,2026-02-01,active,399,Team,False
C1015,2026-03-01,active,399,Team,False
C1015,2026-04-01,active,399,Team,False
C1016,2026-01-01,active,799,Business,False
C1016,2026-02-01,active,799,Business,False
C1016,2026-03-01,active,799,Business,False
C1016,2026-04-01,active,799,Business,False
C1017,2026-01-01,active,99,Starter,False
C1017,2026-02-01,active,99,Starter,False
C1017,2026-03-01,active,99,Starter,False
C1017,2026-04-01,active,99,Starter,False
C1018,2026-03-01,active,49,Starter,False
C1018,2026-04-01,active,49,Starter,False
C1019,2026-01-01,active,1500,Enterprise,False
C1019,2026-02-01,active,1500,Enterprise,False
C1019,2026-03-01,active,1500,Enterprise,False
C1019,2026-04-01,active,1500,Enterprise,False
C1020,2026-01-01,active,599,Business,False
C1020,2026-02-01,active,599,Business,False
C1020,2026-03-01,active,599,Business,False
C1020,2026-04-01,active,599,Business,False
C1021,2026-01-01,active,999,Business,False
C1021,2026-02-01,active,999,Business,False
C1021,2026-03-01,active,999,Business,False
C1021,2026-04-01,active,999,Business,False
C1022,2026-01-01,active,99,Starter,False
C1022,2026-02-01,active,99,Starter,False
C1022,2026-03-01,active,99,Starter,False
C1022,2026-04-01,active,99,Starter,False
C1025,2026-01-01,active,599,Business,False
C1025,2026-02-01,active,599,Business,False
C1025,2026-03-01,active,599,Business,False
C1025,2026-04-01,active,599,Business,False
C1026,2026-01-01,active,799,Business,False
C1026,2026-02-01,active,799,Business,False
C1026,2026-03-01,active,799,Business,False
C1026,2026-04-01,active,799,Business,False
C1029,2026-01-01,active,199,Team,False
C1029,2026-02-01,active,199,Team,False
C1029,2026-03-01,active,199,Team,False
C1029,2026-04-01,active,199,Team,False
C1030,2026-01-01,active,49,Starter,False
C1030,2026-02-01,active,49,Starter,False
C1030,2026-03-01,active,49,Starter,False
C1030,2026-04-01,active,49,Starter,False
C1031,2026-01-01,active,199,Team,False
C1031,2026-02-01,active,199,Team,False
C1031,2026-03-01,active,199,Team,False
C1031,2026-04-01,active,199,Team,False
C1032,2026-01-01,active,99,Starter,False
C1032,2026-02-01,active,99,Starter,False
C1032,2026-03-01,active,99,Starter,False
C1032,2026-04-01,active,99,Starter,False
C1033,2026-01-01,active,49,Starter,False
C1033,2026-02-01,active,49,Starter,False
C1033,2026-03-01,active,49,Starter,False
C1033,2026-04-01,active,49,Starter,False
C1035,2026-01-01,active,49,Starter,False
C1035,2026-02-01,churned,0,Starter,False
C1036,2026-01-01,active,299,Team,False
C1036,2026-02-01,active,299,Team,False
C1036,2026-03-01,active,299,Team,False
C1036,2026-04-01,churned,0,Team,False
C1037,2026-01-01,active,99,Starter,False
C1037,2026-02-01,active,99,Starter,False
